cs_textrec_ID,cs_ID,text::t_notes,text::t_ID,cs_code_ follower.benefits,cs_code_ follower.costs,cs_code_ leader.benefits,cs_code_ leader.costs,cs_code_leadership_other_traits,cs_code_leadership.norms,cs_code_leadership_qualities,cs_code_leadership_functions,cs_code_group_choose,cs_code_group_purpose,cs_code_group_structure
55,10046,Role and appointment of deputies ,55,-1,-1,-1,-1,"When they came they asked where their leader was. They did not join the men of another leader, Their men came together only in time of war, together with their leaders. ......A king who wished to give a province to one of his sons was tempted to find some excuse to remove a commoner governor from office and to hand his province over to his own son or to let his son usurp the governor’s authority bit by bit, but it would not have been to his advantage to let one of his sons or some other noble gain authority within his own province at the expense of a deputy, for then he might lose labour and tribute,",-1,-1,appoint and remove deputies/governers,-1,-1,hierarchically nested 
56,10047,Responsibilities of deputies ,56,-1,"Also, commoners were expected to give him a portion of animals killed in hunting (only the bushbuck was never presented at court, on account of its timidity) and a portion of their termite harvest, either raw termites or their oil, though no definite amounts of either were required of them. ",All elephant tusks and leopard skins belonged to the ruler. ......A man who was used to court life and was known to the prince would bring gifts of these and other kinds to court and present them to the prince in person. Such gifts were intended for his personal consumption. ,-1,-1,"The deputies, as has been noted, were responsible in their capacity of leaders of senior companies (baliabakumbavura) for some work in the cultivations and for leading their company in war. Other duties were to collect tribute; to visit court frequently to attend their master, acquaint him with the affairs of their districts, and advise him on matters of public interest; to settle disputes which did not require royal judgment; and to conduct oracle-tests when any question arising at court requiring them had [Page p.691] to be settled.",-1,"The deputies, as has been noted, were responsible in their capacity of leaders of senior companies (baliabakumbavura) for some work in the cultivations and for leading their company in war.",-1,-1,local group
57,10048,"Redistribution, potential abandonment of princes ",57,-1,"All these things they give to a prince, he does not keep them from the people. If, for example, it is oil, the prince has bowls of porridge cooked, and the relish to go with the porridge will be oil.",-1,-1,a prince leaves alone that thing his subjects give him.,"Those things the subjects of a prince present to him, he must not eat a single one of them, and his chief wife must not eat a single one of them, for if they eat of them the people of his province will all depart and attach themselves to a different prince. It is for this reason that a prince leaves alone that thing his subjects give him. Princes abstain from this food, for that is their custom which long ago originated with their ancestors. ",-1,-1,-1,-1,-1
58,10049,Princes settle new domain rather than subjugation by father or brother,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"hierarchically nested, collection of provinces "
59,10050,leadership among witches,59,-1,-1,-1,-1,-1,-1,-1,Growth in experience goes hand in hand with growth of witchcraft-substance. It is also said that a witch may not kill a man entirely on his own initiative but must present his proposals to a meeting of his fellows presided over by a witch-leader.,-1,-1,group of witches
60,10051,"Chief's deputy involved in wing (oracle), can be insulted by refusal of accused",60,-1,-1,-1,-1,A man who behaves in this manner is acting contrary to custom and is insulting the chief’s deputy who ordered the wing to be laid before him. ,-1,-1,Identify witches,-1,-1,-1
61,10052,"Emergence of leadership in joint functioning, dancing ",61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,dance group
62,10053,"Contextual leadership, qualities of leadership, witch/magic",62,-1,-1,-1,-1,-1,-1,"I have explained earlier that nobles do not become witch-doctors, so that it is always a commoner who acts as leader on the ground of age, experience, personality, achievement, and knowledge of magic. Wealth and social position also qualify a man to some extent to play a leading role, even when his experience and knowledge [Page 204] of magic are smaller than those possessed by other members of the corporation.",-1,-1,-1,-1
63,10054,Leadership among and relationships between witch doctors ,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,witchcraft,local group
64,10055,Rise to leadership by a witchdoctor,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,magical fraternity 
65,10057,Attracting followers,65,-1,-1,-1,-1,"Likewise, medicines to attract followers doubtless make a prince more popular than he would otherwise have been, but a prince who used such medicines alone and did not provide food for his subjects would soon find his court deserted.... But the real medicines to attract men are gifts of food and women.’",-1,-1,-1,-1,-1,kingdom
66,10058,Leadership and followership among witches ,66,-1,-1,"A lodge-leader receives wealth by selling knowledge of his medicines to others in the manner described. He also gets fees from laymen who wish to become members of the association, though he is expected to share these with their sponsors and with his lodge officials. He is made small presents by junior members of the association when they wish to stir and address the medicines about their affairs, for this is a privilege that must be paid for. ",-1,-1,Public opinion in the lodge insists on decorum and obedience to authority in matters pertaining to the association.," Organizing ability, character, and prestige in the locality also count for something. ",-1,-1,-1,"local lodge, magical group"
67,10059,"Formation of military groups, in response to immediate threat. Function of those groups. ",67,-1,Anyone who failed to report for duty was fined at least ten spears; and each man was expected to bring his own spears and shield,-1,-1,-1,-1,"Each had its leader, deputy leader, and order of rank or seniority [Page 241] determined by length of service. ",-1,-1,military company,-1
68,10060,Gifts to and debts of followers,68,"A prince gives spears and throwing-knives to his followers to fight his wars with them, and what weapons they take from the enemy belong to him because the battle was fought with his spears and knives. Azande emphasize that this is so.",-1,"The prince sent some, if not all, of the captured women to his father the king. He had the captured weapons tied in bundles ( vodivodi baso).",-1,-1,-1,-1,-1,-1,-1,-1
69,10061,Military chain of command,69,-1,-1,-1,-1,-1,-1,-1,"The king’s oracle determined the movements of the entire army, and he was commander-in-chief in the field. ",-1,-1,"hierarchically nested, military groups "
70,10062,"Headmen of local groups, qualities of headmen ",70,-1,-1,-1,-1,-1,-1,"What counts for more are maternal links, affinity, blood-brotherhood, personal friendship, a headman’s reputation for generosity and good sense, and so forth.",-1,-1,-1,local group
71,10063,"Son sent out, must attract followers, in region where brothers are. Shows nepotistic nested spheres of leadership ",71,-1,-1,-1,"When Gbudwe told his son Faki to get out of his court and go and live elsewhere, as is the custom of royalty",-1,-1,-1,-1,-1,-1,-1
72,10064,Assignment of leadership positions ,72,-1,-1,-1,-1,-1,-1,-1,Gbudwe pardoned him on his return and reinstated him as company leader but not as provincial governor.,-1,-1,military company
73,10065,An unsuccessful leader,73,-1,-1,-1,-1," He was to prove an unsuccessful ruler who ill-treated his subjects and abused their wives, and after Gbudwe’s death he lost his subjects to Gangura. Mange had also removed his brother Boli from office and replaced him by one of his own sons. Boli’s province was restored to him by Gbudwe. ",-1,-1,-1,-1,-1,-1
74,10066,Lineage of polygamist leaders and reproductive benefits ,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,10067,Common governors vs noble governors,75,-1,-1,-1,-1,-1,-1,commoner,-1,-1,-1,governorates
76,10068,"Nested appointment by prince, vs appointment by King of governors. Absorption of one group into another ",76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"hierarchically nested, province"
77,10069,Conflict between princes in wake of kings death. Benefit of a strong king in succession politics,77,"The struggles which ensued after the death of a king were already latent during his lifetime and sometimes, as has been noted, could in certain circumstances, perhaps chiefly due to Arab interference and intrigue, lead to war between sons even before their father’s death. However, in the case of a strong king like Gbudwe, who kept a firm hand on his sons, fighting between one prince and another was not tolerated. ",-1,-1,-1,"When a prince had been for some years in charge of a province the people of it came to see themselves as a distinct political community through allegiance to him, and, as the river boundaries of provinces often remained the same when they changed hands, local particularist sentiment was thereby strengthened. .....Now, all such allegiances imply, even of necessity involve, opposition to similar allegiance, and it had to be on a provincial level and could not be between a provincial attachment and that to the paramount, for that would have meant disloyalty. As we might expect, therefore, there was rivalry between the people of one province and those of one or other of its neighbours, the personal jealousies and ambitions of their rulers combining with the particularist sentiments of their subjects to make a province a kind of proto-state. ",-1,-1,-1,-1,-1,kingdom
78,10070,An example of filial leadership patterns,78,-1,-1,-1,"Ndeni son of Tombo had quarrelled with his brother Ezo. He thereupon departed with his followers to the south, where he founded a domain for himself in the country of the Ababua people beyond the Uele river. He was later murdered by them, and the leadership of his people eventually passed to his son Kipa (",-1,-1,-1,-1,-1,-1,-1
79,10071,"nested rulership by sons, war after fathers death ",79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,hierarchically nested 
80,10072,Commoner governors and various meanings of 'chief' in the literature ,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,10073,"Leadership of military companies, qualities, eligibility ",81,-1,-1,-1,-1,-1,-1,"service at court and loyalty, ability, and character which counted, regardless of descent,",-1,-1,-1,military company
82,10074,Issue of foreign headmen? Ratio ,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,headman
83,10075,"King able to halt raiding by youths with threat of death, compensation paid",83,-1,-1,-1,-1,"enforce justice, even by threat alone",-1,-1,conflict resolution ,-1,-1,-1
84,10076,"Company of youths leaders tactics to gain followers, give food ",84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,youth company
85,10077,"Movement and allegiance, nested leadership, organization emerges when needed...?",85,-1,-1,"In addition to providing labour in the royal cultivations Azande make their princes gifts in kind, a tribute collected by the aligbu, prince’s deputies.",-1,"People who lived outside that area were subjects of other provincial governors, and a man could not live in one province and be the man of a ruler of another province...when men moved from one district to another they often retained their attachment to the deputy predominant in the district in which they formerly lived, though they presumably did so only if the districts were not very distant from each other.",-1,-1,"This may have been the case, but I believe that in all matters other than war, labour, and tribute a man recognized the authority of the deputy of his district. ",-1,-1,province
86,10078,Forming military parties,86,-1,-1,-1,-1,"They did not join the men of another leader. Everything had to be in order. The deputies had no boundaries, their following was all over the place. Their men came together only in time of war, together with their leaders.",-1,-1,"When something important happened at court as, for example, the prince wished to go to war, then the deputies went to court; and when their men arrived they collected where their deputy was.",-1,-1,-1
88,11182,Prince's must not consume gifts,88,-1,-1,-1,"All these things they give to a prince, he does not keep them from the people. If, for example, it is oil, the prince has bowls of porridge cooked, and the relish to go with the porridge will be oil. Those things the subjects of a prince present to him, he must not eat a single one of them, and his chief wife must not eat a single one of them, for if they eat of them the people of his province will all depart and attach themselves to a different prince. It is for this reason that a prince [Page 218] leaves alone that thing his subjects give him. Princes abstain from this food, for that is their custom which long ago originated with their ancestors. ",-1,-1,-1,-1,-1,-1,kingdom
89,10080,"Distribution by king, women, servants, guns",89," Some [wives] he gave to his sons and provincial governors, and yet others to his commoner governors and his deputies and company commanders. But even more welcome than women and boys were the guns Mange sent his father.",-1,"Of the women and girls (some of whom had babies) he kept the most beautiful in Zande eyes, those brightest of eye and clearest of skin and with full breasts, for his couch. ",-1,-1,-1,-1,-1,-1,-1,-1
90,10081,"Signaling, speeches by leaders before battle ",90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kingdom
91,10082,"Idiot son in law attracts followers, stages attacks, nuisance to king ",91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,10083,"Poison oracle leads leaders to switch, conflict in wake ",92,-1,"The oracle told both of them that if they stayed where they were misfortune would overtake them, so Ngima journeyed to the court of Ezo to suggest that they exchanged kingdoms, to which proposal Ezo agreed. When the news of this exchange spread, Ezo’s followers at court showed great indignation, for Ngima had a bad reputation among the Azande, and he was also considered to have been disobedient to his father.",-1,"Ezo’s followers supported one of his courtiers of the Abakundo clan who told his king that they would never serve Ngima and upbraided him for letting his brother depart in peace. This courtier called upon the young warriors at court to follow him, and they ran after Ngima and beat him with sticks. They tied a stick to his member and twisted it round and round until it was in a terrible state, and so they left him. ","They tied a stick to his member and twisted it round and round until it was in a terrible state, and so they left him. Ezo said nothing when he was told what had happened.",-1,-1,-1,-1,-1,-1
93,10084,Military success attributed to prestige good/magical whistle,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,10085,Gifts to followers,94,Gbudwe ordered beer to be brewed that they might drink it and return home; and when they had finished drinking beer Gbudwe distributed women among his followers; and then they all arose to return home.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,10086,"Rise of Gbudwe. King war with princes, re instates offspring. (Harkens of infanticide)",95,-1,-1,-1,-1,"When he heard it said of a prince that he had many followers he made war against him, and he set one of his sons in his place to reside there and to rule over all who used to be his subjects. ",-1,"Gbudwe was a powerful and a daring man, for he overcame all princes, and for him alone they all became meek. ",-1,-1,-1,-1
96,10087,Resisting Arab posts,96,-1,-1,-1,-1,-1,-1,-1,"Gbudwe, who had presumably come to the conclusion that it was better to fight the Arabs than to submit to them, summoned his sons to blockade the post. ",-1,-1,-1
97,10088,"Myth of leaders, origins, meanings, etc ",97,-1,-1,-1,-1,-1,"Minor points which mirror the Zande representation of their rulers are cleanliness and economy in eating, care in the preparation of food, eating apart from commoners, and a certain distinction and withdrawal from common touch....The founder is also, in one version, the inventor of war, who distributes among his followers the weapons of war.....He listens attentively to cases and gives unambiguous verdicts; he provides food for his followers at court, fresh, well cooked, and in quantity; and he makes war and distributes weapons to be used in it.",-1,-1,-1,-1,-1
98,10089,"Qualities of Gbudwe. Why people liked him. What he thought, feelings towards magic",98,"Gbudwe is said to have asked why a man should have recourse to a magical whistle for protection when he gave all the protection against injury that a man could desire, and to have expressed the opinion that all this blowing of whistles only led to trouble. Nevertheless, he wore one or two whistles of an old type on his person."," If we are to have sympathy for any of Gbudwe’s followers it should, I think, be for some of his old commoner governors, whom, so far as I could understand, he sometimes ousted from their positions somewhat arbitrarily, and occasionally executed, and then replaced them by his own sons;.....",-1,-1,Azande regarded the appointment of a commoner to a governorship as a political hazard.,"Some of his actions may strike us as being ruthless or savage, but Azande point out that it requires a strong hand to rule them.....","They admired also the frankness of his severity, for he attained his ends openly and not with the secrecy and slyness which, his subjects say, Wando and his son Renzi employed, nor did he practice, or allow others to practice, the insane cruelties carried out on the orders of some princes, notably Mvuto son of Ndoruma. ....The Azande also liked him because he was not too self-conscious, was unpretentious in his demeanour, and did not humiliate them.","They say that, on the contrary though he ordered many executions (in fact, I have never been able to obtain details of more than a few, and I think Azande exaggerate the number) he often allowed a man whom he might have slain to pay a fine instead....He approved of witch-doctors ( abinza) and other diviners ( aboro atoro) and summoned them to divine for him, and he sent for the female leech Nambili to treat the ailments of his wives.",-1,-1,kingdom
99,10090,Cruel public punishment by kings,99,-1,-1,-1,-1,-1,-1,-1,"Some kings may indeed have ordered executions and cruel punishments of commoners for trivial offences or for their personal advantage, but I have never heard of such behaviour as Piaggia describes.......",-1,-1,-1
100,10091,Description of chief ,100,-1,-1,-1,-1,-1,-1,"He is a man about thirty-five years of age, more than six feet high, well proportioned, with broad shoulders, intelligent expression and a perpetual smile. ",-1,-1,-1,chiefdom
101,10092,"Short description of old chief, Mentioned again on page 110 of doc",101,-1,-1,-1,-1,equality in adornments. ,-1,"At one of these groups of huts were several hundred Zandehs, among whom [Page 104] I was at once able to single out the aged Wando by his corpulent figure. Like all members of the old Zandeh dynasty, he despised princely adornments, and even his rokko [barkcloth] was no better than those of his surrounding followers. ",-1,-1,-1,-1
102,10093,"Transition of leadership, elections, British rule",102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,local group under prince
103,10094,"Justice, role of chief, poison oracle ",103,-1,-1,-1,-1,"No important sentence is pronounced without previous consultation with the oracle, Benget. It is this which is, in fact, the principal counsel of the chief.",-1,-1,"Justice is rendered by the chief, No important sentence is pronounced without previous consultation with the oracle, Benget. It is this which is, in fact, the principal counsel of the chief.",-1,-1,chiefdom
104,10095,Succession of chiefs,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,10096,Consequences of failing to pay tribute to chief ,105,-1,"The natives have to pay a tribute to the chief, in provisions, in currency or in work, when he decrees and in the manner he decrees","The natives have to pay a tribute to the chief, in provisions, in currency or in work, when he decrees and in the manner he decrees",-1,-1,-1,-1,"The natives have to pay a tribute to the chief, in provisions, in currency or in work, when he decrees and in the manner he decrees.....In case of refusal, the chief causes the arrest of all the members of the family of the offender and confiscates their possessions. ",-1,-1,-1
106,10097,"Village chief in conflict resolution, and in enforcing punishment ",106,-1," If this measure is not sufficient, the one who has left his place to go find his adversary will be required to give a wife and often 20 spears as well for having renewed the quarrel.","The natives who by boasts, provocations, defiance, etc., etc., trouble the tran-quility of the village, are put in stocks, subjected to corporal punishment and pay as reparation, a wife to the village chief. In the case of repetition, they are executed and their wives are confiscated for the benefit of the chief.",-1,-1,-1,-1,"The chief of a village puts an end to quarrels, and discords of long duration, by obliging the parties in question to establish their homesteads far apart from each other.",-1,-1,-1
107,10098,Reputation of a chief. Merciless . Hiding killing from European judgment ,107,-1,-1,-1,-1,-1,-1,-1,"Bakangai [JMA: A Zande chief south of the Bomokandi] had the reputation of a strict ruler, and, like so many powerful chiefs of the black race, he frequently inflicted capital punishment on his subjects. ",-1,-1,-1
108,10099,"Succession of chief, formation of chiefdoms ",108,-1,-1,-1,-1,"One might say that the testament of a dying chief favored the disintegration of the chiefdom. On the contrary, the wars of succession eliminated the candidates who did not have the sympathies of the Azande, and put in front the Avongara, sons or brothers of the dead chief who excelled by their bravery and were able to count as supporters the largest number of cohorts. ",-1,-1,-1,-1,-1,-1
109,10100,Location of chiefs house. Access to harem. Subservient vassals. ,109,-1,-1,"The chief establishes his village in the middle of his territory. Very often the situation is strategically chosen: back to back to a very marshy river, at the edge of an open plain which permits no surprise, it is protected by palisades and surrounded by enormous plantations.....Without the barondo, we find the ngbwadimo, the private harem of the chief where the houses of the women and slaves are visible. No one is permitted to be in the ngbwadimo of the chief.",-1,-1,-1,-1,-1,-1,-1,-1
110,10101,System of political communication within a chiefdom ,110,-1,-1,"Moreover, each vassal is compelled to present himself often to the chief, either that he submit differences or difficulties of the political order, or that he come simply to make him a visit of courtesy and give homage.",-1," If the (conquered) population submitted with good will they were treated as part of the conquering race, and even, at times, received at the end of a certain period, as bakumba, a descendant of their old chiefs.",-1,-1," In order to hold these foreign people in their power, the chief distributed in his territory [19] a series of bakumba, [deputies] each supported by a small troop of Zande warriors.",-1,-1,-1
111,10102,"Chief determines to go to war, uses delegated council ",111,-1,-1,-1,-1,The greater or lesser enthusiasm of the bakumba resolve the chief whether he can go ahead or whether he had better abandon the warlike enterprise.,-1,-1,The right to declare war belongs to the chief. ,-1,-1,-1
112,10103,"Authority of chief, secrecy of external consultation
Executing justice",112,-1,-1,-1,-1,The competence of the chief is unlimited.... The will of the chief is law. ,-1,-1,"Among the Azande, the chief is the sole representative of judiciary power.",-1,-1,-1
