c_name,c_cultural_complexity,rows,neel_total_cell_count,neel_for_prop,neel_against_prop,neel_total_for,neel_total_against,prest_total_cell_count,prest_for_prop,prest_against_prop,sccs.no,c_culture_code,documents,c_latitude,c_longitude,region2,c_region,c_subregion,c_subsistence_code,c_subsistence_type,Location,V79,V152,V156,V158,V158.1,V670,V20,V21,V22,ID4,V61,V63,V64,V69,V70,V72,V73,V75,V76,V77,V78,V79,V80,ID5,V81,V83,V84,V85,V93,V94,V200,V201,V207,V208,V210,V234,V235,V236,V238,V247,V270,V276,V573,V574,V575,V587,V664,V666,V669,V679,V756,V757,V758,V759,V760,V761,V762,V763,V764,V765,V766,V767,V768,V769,V770,V773,V774,V775,V777,V778,VAR00011(V780?),V785,V793,V794,V795,V796,V835,V836,V860,V866,V867,V868,V869,V902,V903,V905,V907,V910,V1133,V1134,,V1648,,V1649,V1650,V1683,V1684,V1685,FACT_2,FACT_3,dom_total_for,dom_total_against,prest_total_for,prest_total_against,dom_culture_score,prest_culture_score,neel_culture_score,vvstrat_culture_score,vvcoord_culture_score,dom_for_prop,dom_against_prop,dom_total_cell_count,vvstrat_total_for,vvstrat_total_against,vvstrat_prop_for,vvstrat_prop_against,vvcoord_total_for,vvcoord_total_against,vvcoord_prop_for,vvcord_prop_against
Chukchee,18,1,4,0.5,0,2,0,7,0,0,121,RY02,1,66.5,180,East Eurasia,Asia,North Asia,3,pastoralists,"Eastern Siberia, Russia",Polygyny >20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Hereditary slavery,18,Mythical Male,Individual households,None or barely adequate,year-round food supply locally,Chukchee       ,Seminomadic-fixed then migratory,< 50,< 1 person / 5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),Overlapping kin ties,Sacrafice other than human,Single local leader,Patrilineal,NA,Polygyny >20% plural wives,Small extended,Chukchee       ,Tribute paid,Stateless society,Peace group,Absent,Direct subsistence production ,NA,East Eurasia,3,0-5% Dependence,Bride-Service,Minimal extended families,Nomadic or fully migratory,Fewer than 50,Three levels,Present and active in human affairs,Bilateral,wealth distinctions,nonhereditary through influence,Absent,NA,NA,For one or more activity,Present,Present,Plus taking wives from hostile groups,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Polygyny preferred by men of higher social class(wealth etc),NA,exceptional skill in hunting,"No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,Sometimes,Enjoyed and Has High Value,Absent or not mentioned,NA,NA,,Warfare seems to occur constantly at any time of the year,,"Internal warfare occur every year, duriing particular season",External warfare occur almost constantly any time of year   ,High,High ,"There are some ""hungry times"" during the year food is scarce",2 Items Present,3 Items Present,0,1,0,0,-0.125,0,0,0,0,0,0.125,8,0,0,0,0,0,0,0,0
Chuuk,28,26,104,0.009615385,0,1,0,182,0.038461538,0,109,OR19,9,7.18,151.72,Insular Pacific,Oceania,Micronesia,7,other,Chuuk State,Polygyny < 20% plural wives,200-399 persons,100 persons / sq. mile,Egalitarian,28,Sexes unequal,Individual households,Simple or adequate,seasonal variation,Trukese        ,Permanent,200-399,over 500 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Matrilineal-through female line,Local endogamy 61-89% (agamous),Overlapping kin ties,Feasting and/or drinking,Dual/plural headmen,Matrilineal,Seniority,Polygyny < 20% plural wives,Large extended,Trukese        ,Semi-autonomous,Stateless society,Absent,Absent,Direct subsistence production ,NA,Insular Pacific,6,46-55%,Absence of Consideration,NA,"Seperated hamlets, forming a single community",100-199,Three levels,Absent or not reported,Mixed,absence among free men,matrilineal heir,Absent,not important ,All three variables have a score of 0,NA,Present,Absent,Plus separate places for men,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Matrilineal, w/non-avunculocal residence","Monogamy preferred, but exceptional cases of polygyny",No Stratified polygny,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence",NA,Considered a Necessary Evil,Absent or not mentioned,NA,NA,,original 4.75,,Internal warfare seems to occur constantly any time of year ,original code 4.75,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Don't know (original code 8),3 Items Present,Absent,1,4,7,0,-0.014423077,0.038461538,0.048076923,0.230769231,0.269230769,0.004807692,0.019230769,208,6,0,0.230769231,0,7,0,0.269230769,0
Copper Inuit,16,4,16,0.0625,0,1,0,28,0.071428571,0,124,ND08,2,69,-111.5,North America,North America,Arctic and Subarctic,1,foragers,Victoria Island and environs,Polygyny < 20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Egalitarian,16,Sexes equal,Individual households,Simple or adequate,daily variation in food supply,Copper Eskimo  ,Seminomadic-fixed then migratory,< 50,< 1 person / 5 sq. mile,Neolocal-separate from kin,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),Overlapping kin ties,Entertainment,No centralized local leadership,O No headmen or council,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Copper Eskimo  ,De Facto Autonomy,Stateless society,Peace group,Absent,Direct subsistence production ,NA,North America,1,0-5% Dependence,Bride-Service,"Nuclear Family, Monogamous",Seminomadic,Fewer than 50,Two levels,Absent or not reported,Bilateral,absence among free men,absence of any such office,Absent,not important ,All three variables have a score of 0,NA,Absent,Absent,No items present,absent or occasional or periodical ,None exist,Considerable Overlap between Leaders,Informal,Limited,Neither Malevolent nor Benevolent,No leaders act independently,"No formal leadership, loss of power when support diminishes",Ude persuasion to help organized & structure group action,"Few explicit decisions, some made by community at large",Minimal collective decisions which impinge on peoples lives,Widespread: decision making forums open to all adults,Moderate: Disagreements do not result in high violence      ,"Moderately High, often involving physical violence",Conflicting partiesfind solution on their own,Often used,Rare or never,Rare or never,Highly variable,Absent,High,Low,Often move to another community,Significant,High,Occasional,None,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",No Stratified polygny,exceptional skill in hunting,"No, or unimportant","No, or unimportant",NA,No Special Respect for Man who Fights,NA,"Avoided, Denounced, Not Engaged In",NA,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,Warfare seems to occur constantly at any time of the year,,Don't know or unclear (original code 8),External warfare occur almost constantly any time of year   ,Moderately high threat of severe natural disrupters food sup,Low threat of severre natural disrupters of the food supply ,Low or rare (original code 1),1 Item Present,1 Item Present,3,2,2,0,-0.1875,0.071428571,0.125,0.5,0,0.09375,0.0625,32,0,0,0,0,0,0,0,0
Dogon,36,11,44,0.068181818,0,3,0,77,0.064935065,0,24,FA16,6,14.13,-2.75,Circum-Mediterranean,Africa,Western Africa,5,intensive agriculturalists,"Mali, Burkina Faso",Polygyny < 20% plural wives,400-999 persons,5.1-25 persons/ sq. mile,"3 social classes or castes, w/ or w/out slavery",36,NA,NA,None or barely adequate,seasonal variation,Songhai        ,Permanent,400-999,1-25 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 40-60% (agamous),Common religious ties,Sacrafice other than human,Single local leader and council,Patrilineal,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Songhai        ,Dependent totally,Stateless society,Absent,Absent,Foreign Commerce,Slaves,Circum-Mediterranean,2,46-55%,Bride-Price,"Nuclear Family,  Occasional Polygyny",Compact and relatively permanent settlements,"One or more towns of 5,000-50,000",Three levels,"Present, active, and specifically supportive",Patrilineal,complex,patrilineal heir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Three or more levels of supra-community integration,"Ambilineal, e.g. with nonunilineal ramages","Monogamy preferred, but exceptional cases of polygyny",No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",NA,NA,NA,Enjoyed and Has High Value,Absent or not mentioned,NA,NA,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Some members of the population do not have enough to eat ,Absent,Absent,3,1,5,0,0.022727273,0.064935065,0.045454545,0.272727273,0.181818182,0.034090909,0.011363636,88,3,0,0.272727273,0,2,0,0.181818182,0
Eastern Toraja,28,25,100,0.02,0,2,0,175,0.062857143,0,87,OG11,4,-1.75,121,Insular Pacific,Asia,Southeast Asia,4,horticulturalists,"Celebes, Indonesia",Polygyny < 20% plural wives,100-199 persons,5.1-25 persons/ sq. mile,Hereditary slavery,28,NA,Individual households,Simple or adequate,seasonal variation,Toradja        ,Permanent,100-199,1-25 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Bilateral- not a corporate kin group,Local endogamy 61-89% (agamous),Overlapping kin ties,Feasting and/or drinking,Single local leader and council,I  Informal Consensus,NA,Polygyny < 20% plural wives,Large extended,Toradja        ,Semi-autonomous,Stateless society,Peace group,Absent,Slaves,NA,Insular Pacific,3,56-65%,Bride-Price,NA,Compact and relatively permanent settlements,NA,Three levels,NA,Bilateral,wealth distinctions,nonhereditary through election or other formal consensus,NA,NA,NA,For one activity,Present,Present,NA,frequent or endemic,NA,Some overlab,Non-Hereditary,Limited,Basically benevolent,Leaders secure support,"Not removed in formal manner, lose influence & are ignored",Ude persuasion to help organized & structure group action,"Individual(s), w/board based council",Collective decisions impinge many aspects of peoples lives,"High or some:  excluded basis on gender, age, or kinship",Moderate: Disagreements do not result in high violence      ,"Moderate: Disputes may occur regularly, but manage w/ peace",Authorities often get invloved to achieve a settlement,Sometimes used,Occasional,"Frequent, yearly",Moderate,done by leaders,Especially high,High,Sometimes,Significant,High,Women excluded,Some Positions,Single level of political integration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",NA,NA,NA,NA,NA,An Official Backed by Force,NA,"Yes, Usually or Always",NA,Absent or not mentioned,NA,NA,,Warfare seems to occur constantly at any time of the year,,original code 4.5,External warfare occur almost constantly any time of year   ,NA,Don't know ,"There are some ""hungry times"" during the year food is scarce",3 Items Present,Absent,1,3,11,0,-0.01,0.062857143,0.04,0.52,0.24,0.005,0.015,200,13,0,0.52,0,6,0,0.24,0
Ganda,37,124,496,0.034274194,0,17,0,868,0.017281106,0.008064516,12,FK07,11,0.5,33,Africa,Africa,Eastern Africa,5,intensive agriculturalists,Uganda,Polygyny >20% plural wives,100-199 persons,100 persons / sq. mile,"2 social classes, castes/slavery",37,Mythical Male,None,Simple or adequate,year-round food supply locally,Ganda          ,Permanent,100-199,101-500 persons / sq. mile,Neolocal-separate from kin,Patrilineal-through male line,Local endogamy 0-10% (exogamy),Common political ties,Human sacrifice,Single local leader,A  By appointment,NA,Polygyny >20% plural wives,Nuclear Poygynous,Ganda          ,Fully autonomous,Sovereignty 3rd or higher hierarchical level,Absent,Single leader,Contributions of free citizens,Slaves,Africa,4,66-75%,Bride-Price,Polygynous: Usual Co-wife ,Compact and relatively permanent settlements,"One or more towns of 5,000-50,000",Two levels,Present  but not active in human affairs,Patrilineal,dual,nonhereditary,Absent,not important ,All three variables have a score of 0,NA,Present,Present,Plus taking wives from hostile groups,frequent or endemic,Highly Differentiated,Some overlab,Non-Hereditary,Very powerful,Capricious and arbitary,Few,"Institutionalized means invoked occasionally, by elites",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge many aspects of peoples lives,Lowor non-existent: Leaders make most decisions,Moderate: Disagreements do not result in high violence      ,Mild or rare,Authorities often get invloved to achieve a settlement,Sometimes used,Occasional,"Frequent, yearly",High,Present,Low,Extensive,NA,Women excluded,Not Involved,Women excluded,Some Positions,Three or more levels of supra-community integration,"Ambilineal, e.g. with nonunilineal ramages","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",An Official Backed by Force,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,NA,Depotism present: Conflicts of interest among individuals,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),Low threat of severe natural disrupters of the food supply,Low threat of severre natural disrupters of the food supply ,Low or rare (original code 1),2 Items Present,2 Items Present,11,1,15,7,0.010080645,0.00921659,0.040322581,0.161290323,0.056451613,0.01108871,0.001008065,992,20,0,0.161290323,0,7,0,0.056451613,0
Garo,31,4,16,0,0,0,0,28,0.035714286,0,69,AR05,3,25.59,90.43,East Eurasia,Asia,South Asia,4,horticulturalists,"Garo Hills, Meghalaya, India",Polygyny < 20% plural wives,200-399 persons,26-100 persons  / sq. mile,Hereditary slavery,31,Sexes equal,Individual households,Complez or> adequate,seasonal variation,Garo           ,Permanent,200-399,26-100 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Matrilineal-through female line,Local endogamy 11-39 % (agamous),Overlapping kin ties,Feasting and/or drinking,Single local leader,Matrilineal,NA,Polygyny < 20% plural wives,Stem Family,Garo           ,Equal status in pluralistic society,Sovereignty 3rd or higher hierarchical level,International organization,Executive and Council,Capitalistic enterprises,Foreign Commerce,East Eurasia,9,76-85%,Absence of Consideration,Minimal extended families,Compact and relatively permanent settlements,100-199,Three levels,Present  but not active in human affairs,Matrilineal,wealth distinctions,matrilineal heir,Present,very important,two of the three variables have a score of 1,For one activity,Absent,Absent,No items present,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Single level of political integration,"Matrilineal, w/non-avunculocal residence",Polygyny preferred by men of higher social class(wealth etc),Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,NA,Sometimes,NA,Absent or not mentioned,NA,NA,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),Low threat of severe natural disrupters of the food supply,Low threat of severre natural disrupters of the food supply ,"There are some ""hungry times"" during the year food is scarce",2 Items Present,2 Items Present,2,1,1,0,0.03125,0.035714286,0,0,0,0.0625,0.03125,32,0,0,0,0,0,0,0,0
Guarani,16,12,48,0.145833333,0,7,0,84,0.035714286,0,181,SM04,4,-23.5,-55,South America,South America,Eastern South America,7,other,"Paraguay, Argentina, Brazil",Polygyny < 20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Egalitarian,16,NA,Communal facilities,Simple or adequate,year-round food supply locally,Cayua          ,Seminomadic-fixed then migratory,< 50,1 person / 1-5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),By common residence only,Feasting and/or drinking,Single local leader,I  Informal Consensus,NA,Polygyny < 20% plural wives,Small extended,Cayua          ,De Facto Autonomy,Stateless society,Absent,Absent,Direct subsistence production ,NA,South America,0,46-55%,Absence of Consideration,"Nuclear Family, Monogamous",Compact and relatively permanent settlements,NA,Two levels,NA,Bilateral,absence among free men,NA,NA,NA,NA,For one activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",NA,NA,NA,NA,NA,NA,NA,"Avoided, Denounced, Not Engaged In",Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,original code 2.75,,original code 2.5,original code 2.75,Low threat of severe natural disrupters of the food supply,Low threat of severre natural disrupters of the food supply ,Some members of the population do not have enough to eat ,1 Item Present,Absent,4,1,3,0,0.03125,0.035714286,0.104166667,0.5,0,0.041666667,0.010416667,96,6,0,0.5,0,0,0,0,0
Hausa,43,27,108,0.046296296,0,5,0,189,0.031746032,0,26,MS12,4,12.5,8,Circum-Mediterranean,Africa,Western Africa,7,other,Nigeria and Niger,Polygyny >20% plural wives,1000 persons,26-100 persons  / sq. mile,"3 social classes or castes, w/ or w/out slavery",43,Sexes equal,Economic agent controlled,Complez or> adequate,seasonal variation,Hausa          ,Permanent,"1,000-4,999",26-100 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 40-60% (agamous),Common political ties,Sacrafice other than human,Single local leader and subordinates,A  By appointment,NA,Polygyny >20% plural wives,Small extended,Hausa          ,Equal status in pluralistic society,Sovereignty 3rd or higher hierarchical level,Confederation,Single leader,Slaves,Tribute or taxes,Circum-Mediterranean,2,56-65%,Bride-Price,Small extended families,Compact and relatively permanent settlements,"One or more cities of more than 50,000",Three levels,"Present, active, and specifically supportive",Patrilineal,complex,patrilineal heir,Present,not important ,two of the three variables have a score of 1,NA,Present,Present,NA,frequent or endemic,Highly Differentiated,Distinct,Kinship Broad Choicd,Very powerful,NA,Checks exist,"Institutionalized means invoked occasionally, by elites",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge many aspects of peoples lives,Lowor non-existent: Leaders make most decisions,Moderate: Disagreements do not result in high violence      ,"Moderate: Disputes may occur regularly, but manage w/ peace",Authorities often get invloved to achieve a settlement,Rarely or never used,Common,"Frequent, yearly",High,Present,High,NA,Sometimes,Women excluded,Significant,Women excluded,Some Associations,Three or more levels of supra-community integration,"Ambilineal, e.g. with nonunilineal ramages","Polygyny preferred by most men, to obtain wives",No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,"Some, not necessary to be a Warrior to have Influence","Yes, Usually or Always",Enjoyed and Has High Value,Present,NA,NA,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Some members of the population do not have enough to eat ,1 Item Present,Absent,8,0,6,0,0.037037037,0.031746032,0.018518519,0.185185185,0.185185185,0.037037037,0,216,5,0,0.185185185,0,5,0,0.185185185,0
Highland Scots,47,24,96,0.072916667,0,7,0,168,0.005952381,0.017857143,51,ES10,6,56,-5,Circum-Mediterranean,Europe,British Isles,7,other,UK,Monogamy,400-999 persons,26-100 persons  / sq. mile,"3 social classes or castes, w/ or w/out slavery",47,Mythical Male,Economic agent controlled,Complez or> adequate,seasonal variation,Irish          ,Permanent,400-999,26-100 persons / sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 61-89% (agamous),Overlapping kin ties,Sacrafice other than human,Higher level only,O No headmen or council,NA,Monogamy,Stem Family,Irish          ,Fully autonomous,Sovereignty 2nd hierarchical level up,International organization,Executive and Council,Capitalistic enterprises,Foreign Commerce,Circum-Mediterranean,7,46-55%,Dowry,Minimal extended families,Neighborhoods of dispersed family homesteads,"One or more cities of more than 50,000",Two levels,"Present, active, and specifically supportive",Bilateral,complex,NA,NA,NA,NA,For one activity,Present,NA,NA,NA,NA,Some overlab,Informal,Somewhat Powerful,Capricious and arbitary,Leaders secure support,"No formal leadership, loss of power when support diminishes",Ude persuasion to help organized & structure group action,"Few explicit decisions, some made by community at large",Minimal collective decisions which impinge on peoples lives,Lowor non-existent: Leaders make most decisions,Moderate: Disagreements do not result in high violence      ,"Moderate: Disputes may occur regularly, but manage w/ peace",Conflicting party resolve disputes using informal mechanisms,Rarely or never used,NA,NA,Moderate,Absent,Moderate,NA,Often move to another community,Women excluded,Not Great,Women excluded,None,Two levels of supra-community intergration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Monogamy prescribed,No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence",Sometimes,Considered a Necessary Evil,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),NA,Moderate threat of severe natural disrupters of food supply ,Low or rare (original code 1),2 Items Present,1 Item Present,1,0,1,3,0.005208333,-0.011904762,0.020833333,0.083333333,0.083333333,0.005208333,0,192,2,0,0.083333333,0,2,0,0.083333333,0
Hopi,35,13,52,0.173076923,0,9,0,91,0.021978022,0,149,NT09,9,35.5,-110.5,North America,North America,Southwest and Basin,5,intensive agriculturalists,Arizona,Monogamy,1000 persons,1-5 persons / sq. mile,Egalitarian,35,NA,Individual households,Simple or adequate,Annual variation,Zuni           ,Permanent,"1,000-4,999",1-5 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Matrilineal-through female line,Local endogamy 90-100%,"Common Identity, dialect, subculture",Entertainment,Too complex to be coded,Matrilineal,Electoral process,Monogamy,Large extended,Zuni           ,De Facto Autonomy,Stateless society,Absent,Absent,Direct subsistence production ,NA,North America,8,76-85%,Absence of Consideration,NA,Compact and relatively permanent settlements,"1,000 without any town of more than 5000",Four levels,Absent or not reported,Matrilineal,absence among free men,nonhereditary through election or other formal consensus,NA,NA,NA,None ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Matrilineal, w/non-avunculocal residence",Monogamy prescribed,No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,"Some, not necessary to be a Warrior to have Influence","Yes, Usually or Always",Considered a Necessary Evil,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,No resolved rating (original code 0),,No resolved rating (original code 0),No resolved rating (original code  0) ,Low threat of severe natural disrupters of the food supply,Moderate high threat of severe natural disrupters of food su,Low or rare (original code 1),1 Item Present,Absent,0,2,2,0,-0.019230769,0.021978022,0,0.076923077,0.153846154,0,0.019230769,104,1,0,0.076923077,0,2,0,0.153846154,0
Iban,23,43,172,0.005813953,0,1,0,301,0.053156146,0,85,OC06,12,2,113,Insular Pacific,Asia,Southeast Asia,4,horticulturalists,Malaysia,Monogamy,fewer than 100 persons,5.1-25 persons/ sq. mile,Hereditary slavery,23,Sexes equal,Individual households,None or barely adequate,Annual variation,Iban           ,Impermanent-periodically moved,50-99,1-25 persons / sq. mile,Ambilocal-w/ either wife's or husband's kin,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),By common residence only,Sacrafice other than human,Single local leader and council,I  Informal Consensus,NA,Monogamy,Stem Family,Iban           ,Semi-autonomous,Stateless society,Absent,Absent,Direct subsistence production ,NA,Insular Pacific,2,56-65%,Absence of Consideration,Minimal extended families,Compact and relatively permanent settlements,NA,Three levels,Absent or not reported,Bilateral,absence among free men,nonhereditary through informal consensus,Present,very important,two of the three variables have a score of 1,None ,Present,Absent,Ideology of male toughness only,frequent or endemic,NA,Some overlab,Non-Hereditary,Limited,Basically benevolent,Leaders secure support,"Institutionalized means invoked occasionally, by elites",Ude persuasion to help organized & structure group action,Broad base community council,Collective decisions impinge on few aspects of peoples lives,Widespread: decision making forums open to all adults,Moderate: Disagreements do not result in high violence      ,"Moderately High, often involving physical violence",Authorities often get invloved to achieve a settlement,Sometimes used,"Frequent, yearly","Frequent, yearly",Moderate,done by leaders,High,Extensive,Often move to another community,High,High,None,None,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Monogamy prescribed,No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,NA,NA,,"Warfare seems to occur every year, during particular season",,"Internal warfare occur every year, duriing particular season",External warfare seems to occur every year particular season,Low threat of severe natural disrupters of the food supply,Don't know ,Low or rare (original code 1),1 Item Present,1 Item Present,2,4,16,0,-0.005813953,0.053156146,0.005813953,0.23255814,0.046511628,0.005813953,0.011627907,344,10,0,0.23255814,0,2,0,0.046511628,0
Ifugao,31,4,16,0,0,0,0,28,0.035714286,0,112,OA19,2,16.83,121.17,Insular Pacific,Asia,Southeast Asia,5,intensive agriculturalists,Philippines,Polygyny < 20% plural wives,400-999 persons,100 persons / sq. mile,Hereditary slavery,31,Mythical Male,Individual households,Simple or adequate,seasonal variation,Ifugao         ,Permanent,400-999,101-500 persons / sq. mile,Ambilocal-w/ either wife's or husband's kin,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),By common residence only,Sacrafice other than human,No centralized local leadership,O No headmen or council,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Ifugao         ,Dependent totally,Stateless society,Absent,Absent,Direct subsistence production ,NA,Insular Pacific,1,56-65%,Bride-Price,"Nuclear Family, Monogamous","Seperated hamlets, forming a single community",100-199,Three levels,Absent or not reported,Bilateral,wealth distinctions,absence of any such office,NA,NA,NA,NA,NA,Present,Plus rape institutionalized or reported,frequent or endemic,NA,Considerable Overlap between Leaders,Informal,Limited,Basically benevolent,No leaders act independently,"Not removed in formal manner, lose influence & are ignored",Ude persuasion to help organized & structure group action,"Few explicit decisions, some made by community at large",Minimal collective decisions which impinge on peoples lives,Widespread: decision making forums open to all adults,"High: Conflict present, not a pervasive aspect of daily life","Endemic: High physical violence, feuding, and/or raiding    ",Conflicting party resolve disputes using informal mechanisms,Often used,"Frequent, yearly",Rare or never,Moderate,Present,Moderate,NA,NA,Significant,High,Occasional,Some Associations,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,NA,NA,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),No resolved rating (original code  0) ,NA,Moderate threat of severe natural disrupters of food supply ,"There are some ""hungry times"" during the year food is scarce",3 Items Present,1 Item Present,0,0,1,0,0,0.035714286,0,0,0,0,0,32,0,0,0,0,0,0,0,0
