,cs_ID,cs_textrec_ID,text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,demo_sex,c_name,hooper_coop.activities,hooper_group.size,hooper_payoff,hooper_performance,hooper_sanction.freeriders,c_name,hooper_total_against,hooper_total_for,prestige_counsel.f,prestige_emulated.f,prestige_expertise.f,prestige_family.f,prestige_followers.expect.success.f,hooper_coop.activities.f,hooper_group.size.f,hooper_payoff.f,hooper_performance.f,hooper_sanction.freeriders.f,subsistence2,region2,,c_name,hooper_total_against,hooper_total_for
507,10452,483,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Iban,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Iban,,
508,10453,484,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,1,1,0,0,0,Ifugao,,,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,evidence for,no evidence,no evidence,no evidence,horticulturalists,Africa,,Ifugao,,
509,10454,485,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Iroquois,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Iroquois,,
510,10455,486,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,female,Akan,0,0,0,0,0,Kanuri,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Kanuri,,
511,10456,487,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Kapauku,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Kapauku,,
512,10457,488,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Khasi,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Khasi,,
513,10458,489,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Klamath,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Klamath,,
514,10459,490,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,female,Akan,0,0,0,0,0,Kogi,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Kogi,,
515,10460,491,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Korea,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Korea,,
516,10461,492,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Kuna,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Kuna,,
517,10462,493,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Kurds,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Kurds,,
518,10463,494,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Lau Fijians,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Lau Fijians,,
519,10464,495,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Libyan Bedouin ,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Libyan Bedouin ,,
520,10465,496,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Lozi,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Lozi,,
521,10466,497,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,female,Akan,0,0,0,0,0,Maasai,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Maasai,,
522,10467,498,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Mataco,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Mataco,,
523,10468,499,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Mbuti,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Mbuti,,
524,10469,500,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Ojibwa,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Ojibwa,,
525,10470,501,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Ona,,,evidence for,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Ona,,
526,10471,502,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Pawnee,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Pawnee,,
1173,11207,462,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Saami,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Saami,,
9,10185,193,both,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Santal,,,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Santal,,
78,10160,170,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Saramaka,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Saramaka,,
79,10174,184,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Serbs,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Serbs,,
80,10175,185,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Shluh,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Shluh,,
81,10176,186,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Sinhalese,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Sinhalese,,
82,10177,187,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Somali,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Somali,,
83,10186,194,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Taiwain Hokkien,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Taiwain Hokkien,,
84,10188,196,case,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Tarahumara,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tarahumara,,
272,10155,165,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Tikopia,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tikopia,,
273,10156,166,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Tiv,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tiv,,
274,10157,167,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,1,0,0,Tlingit,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tlingit,,
275,10158,168,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Trobriands,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Trobriands,,
276,10159,169,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Tukano,,,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tukano,,
277,10161,171,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Tzeltal,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Tzeltal,,
278,10162,172,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Wolof,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Wolof,,
279,10163,173,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Yakut,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Yakut,,
280,10164,174,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,Yanoama,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,Yanoama,,
281,10165,175,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
282,10166,176,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,agriculturalists,Circum-Mediterranean,,,,
283,10167,177,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
284,10168,178,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
285,10169,179,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,agriculturalists,Circum-Mediterranean,,,,
286,10170,180,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
287,10171,181,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
288,10172,182,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
289,10173,183,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
290,10178,188,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
291,10179,189,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
292,10181,189,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,1,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,evidence for,no evidence,agriculturalists,Circum-Mediterranean,,,,
293,10182,190,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
294,10183,191,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,unkown,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
295,10184,192,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
296,10187,195,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
297,10190,197,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
298,10191,198,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
299,10192,199,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,unkown,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
300,10193,200,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
301,10194,201,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
302,10195,202,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,1,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,agriculturalists,Circum-Mediterranean,,,,
303,10196,203,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
304,10197,204,cultural model,MP05,Amhara,Africa,Eastern Africa,intensive agriculturalists,5,10.5,38,42,male,Amhara,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,agriculturalists,Circum-Mediterranean,,,,
623,10589,614,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
624,10590,615,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,evidence against,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
625,10591,616,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
626,10592,617,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
627,10593,618,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
628,10594,619,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
629,10595,620,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,female,Andamans,0,0,0,0,0,,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
630,10596,621,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
631,10597,622,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,no evidence,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
632,10598,623,cultural model,AZ02,Andamans,Asia,South Asia,foragers,1,12,92.74,14,male,Andamans,0,0,0,0,0,,,,evidence for,no evidence,evidence for,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,hunter gatherers,East Eurasia,,,,
