t_ID	split_record	t_text																															
970.1	Yes: Political leader here	"A band was a self-contained unit small enough to find food yet large enough to protect itself from enemy attacks. It had a leader recognized as the political chief; another man was the war chief. During normal times the political chief controlled the movements of the band, but should there be danger from enemy attack or other causes, the war chief immediately assumed control.
The political chief took the role of chief magistrate, presiding at council meetings, giving instructions to the camp police, and setting disputes within the band. His police were members of one of the warrior societies.
When a boy reached his early teens he joined one of these societies made up of comrades his own age. Then, about once every five years, his society took over the membership of the group that was older than themselves and transferred their membership to a new group of younger persons. In this way every man in the camp could belong to a society of people his own age. Those who were between twenty and twenty-five, or between twenty-five and thirty, were most often chosen to act as camp police. They patrolled at night, acted as guardians during buffalo hunts, and protected the band while on the trail. They also carried out the edicts of punishment decided by the chief. For example, a thief might be banished from the camp, or a man who went out alone to hunt buffalo and frightened the herds away might have had his horse seized and his riding gear destroyed."																															
681.1	"Yes: not concerning chief here, code for others than chief"	"In a group of men from a village community who go to war, there is only one tadoelako, who has the leadership, who determines when the people will break camp and when the people will come to a halt; who instructs the men who are going to spy on the enemy and who picks the moment that the attack will take place. He ascribes his power and his influence to the fact that he knows how to interpret the instructions that the ancestors-gods give in all sorts of signs. If one does not obey the tadoelako, then one is rebelling against the gods. It is not primarily courage that is asked of the tadoelako, but knowledge of all sorts of signs that appear and the interpretation of them. We have known tadoelako who were not courageous, but were respected by everyone because of their great knowledge and wisdom.
In larger groups of warriors there were usually two tadoelako, one of whom had the leadership of the expedition and the other was in command during the attack; the latter had to be a courageous man, but he, too, had to follow the instructions of the first one. The first one was the tadoelako mpoe’oe or tadoelako kodjo , “the true tadoelako”; also sometimes called wo’o ntangoa , “the head of the huts,” or wo’o ntaoe , “the head of the men.” The second one was the tadoelako iwinja , “someone with whom (in what concerns the leadership) one does not reckon”; or tadoelako ri tana , “tadoelako of the ground,” in contrast to the abode of the gods in the sky with /260/ which the chief-tadoelako is connected. Another name for him was kongka , “eagle”; he is celebrated as such in the war songs. Sometimes a Chief ( mokole ) also went out with the troop; he then usually acted as a second [Page 386] tadoelako. For the most part, however, the village chief did not go with the troop, but remained at home in order to look out for the well-being of those who remained behind. If he went along, he also had to follow the instructions of the first tadoelako."																															
1132.2	Yes: Local leader here	"The political organization of the Makuna is egalitarian, in the sense that there is no permanent, centralized authority. Each residence group has a headman ( [unknown]uh[unknown]u ). He is the owner of the house, the man who was responsible for the joint undertaking of building it. He is usually, but not necessarily, the eldest son of the previous headman. The headman is always an adult, married and able-bodied man, never very old nor physically weak or handicapped. As the owner, his task is to see that the house is maintained in a proper state and repaired when needed. As headman of the residence group inhabiting the longhouse, his duty is to keep peace and order in the group and to maintain good relations with other groups. Thus, he represents his group in all external relations. He is ultimately responsible for the well-being of his followers. It is thus also his duty to see that his followers are well fed and properly married. His rights are few and are directly tied to his responsibilities. His authority is consequently limited. It rests on his status as house-owner and his ability to lead his followers by means of hard work, good behaviour and skilful talk. He has no coercive or commanding authority. In short, his authority and the sanctions at his disposal are those of a “social director”: he convinces, advises and organizes, and he interprets and directs public opinion.
A prestigious and ambitious headman may extend his authority and political influence outside his own residence group. Then he becomes what I shall call a local leader, whose authority is accepted and recognized by several headman. Yet he will still be referred to as [unknown]uh[unknown]u, that is, headman and house-owner. The authority of a local leader does not rest on his status as house-owner and senior kinsman alone, but on his control over other and additional political resources, as well as on his political skill and charismatic personality. His rights and duties are a direct extension of those of the headman. The limits of his authority are set by his own prestige and capacity, as well as by the segmentary social and political system in which he operates."																															
906.2	Yes: Hunting group leader here	"“Inside” and “outside” leaders are discernible among Ojibwa bands living on the north shore of Lake Superior in the mid-19th century. The traditional forms of leadership — hunting group leader and band chief — were still present and the fur trade had provided an opportunity for a new leadership role to appear, that of trading post band chief. He was, as his title suggests, attached to a trading post and was credited by the trader with having considerable authority over the members of the trading post band (Rogers 1965). As an “outside” leader, the trading post band chief was noted for his ability to deal with non-natives and was highly regarded by them, but the status thus afforded him was not necessarily recognized by all the members of the trading post band, nor did his authority extend to activities outside the trading post."																															
907.1	Yes: Hunting group leader	"Within a hunting group, the senior male member was most often recognized as headman of the group. His leadership was based on his age, knowledge and skills as a hunter, perhaps also on his reputation as a shaman, and he fulfilled his role as leader through his ingenuity, personality and his enjoyment of the group's approval. On those occasions when the band's hunting groups collected, its members recognized the leadership of a single individual headman, a chief whose role as leader was weaker than that of a hunting group headman and who was recognized only until the band dispersed once again. 
----
A chief's authority was based on his age, his oratorical skills and his ability to act as an arbitrator among band members and, following contact, between them and Europeans. Since the Lake Superior Ojibwa spent most of the year scattered in hunting groups, headmen would have had more influence over their daily activities than did chiefs."																															
1021.1	Yes: Hereditary chief	"The hereditary chief held the highest rank in Pawnee society. Succession was always patrilineal, usually passing to the eldest son. However, the direct heir might decline the responsibility or he might be unfit for the office. In either case another male relative who was better suited for the position could fill it. Enjoying slightly less prestige were the subchiefs. They did not inherit their positions but were elected to them. Most came from prominent families, although many were commoners who had distinguished themselves in war and on the hunt and who exhibited the chiefly traits of generosity and self-restraint. Once elected, a chief was given a permanent seat in the chiefs’ council and occupied it until his death."																															
888.1	Yes: Headman here	"The noticeable lack of centralized authority in Inuit society, especially among the Copper Eskimo, made the enforcement of these protolegal postulates a difficult task. In other areas of the Arctic, such as North Alaska, a local headman might be consulted in civil disputes (Spencer 1959:178). His influence, however, was suggestive, not binding, and thus there was no coercive authority for the enforcement of cultural values and norms. In many areas of the Arctic, shamans had the power to coerce, but this was done mostly out of fear rather than the recognition of institutionalized authority. Depending upon the disposition of the shaman and the extent of his perceived powers, the shaman could use his supernatural abilities to maintain the social balance of the community or, alternately, simply to advance his own power and control."																															
1132.1	Yes: Headman here	"The political organization of the Makuna is egalitarian, in the sense that there is no permanent, centralized authority. Each residence group has a headman ( [unknown]uh[unknown]u ). He is the owner of the house, the man who was responsible for the joint undertaking of building it. He is usually, but not necessarily, the eldest son of the previous headman. The headman is always an adult, married and able-bodied man, never very old nor physically weak or handicapped. As the owner, his task is to see that the house is maintained in a proper state and repaired when needed. As headman of the residence group inhabiting the longhouse, his duty is to keep peace and order in the group and to maintain good relations with other groups. Thus, he represents his group in all external relations. He is ultimately responsible for the well-being of his followers. It is thus also his duty to see that his followers are well fed and properly married. His rights are few and are directly tied to his responsibilities. His authority is consequently limited. It rests on his status as house-owner and his ability to lead his followers by means of hard work, good behaviour and skilful talk. He has no coercive or commanding authority. In short, his authority and the sanctions at his disposal are those of a “social director”: he convinces, advises and organizes, and he interprets and directs public opinion.
A prestigious and ambitious headman may extend his authority and political influence outside his own residence group. Then he becomes what I shall call a local leader, whose authority is accepted and recognized by several headman. Yet he will still be referred to as [unknown]uh[unknown]u, that is, headman and house-owner. The authority of a local leader does not rest on his status as house-owner and senior kinsman alone, but on his control over other and additional political resources, as well as on his political skill and charismatic personality. His rights and duties are a direct extension of those of the headman. The limits of his authority are set by his own prestige and capacity, as well as by the segmentary social and political system in which he operates."																															
1195.1	Yes: Headman here	"The priest (mama) exercises the principal authority (pl. 181, top, left ), although under Spanish influence each village has a secular headman or commissioner. The latter, however, refers important questions to the priest for final decision. The headman of the village usually serves for 1 or 2 years to be succeeded by another wealthy or influential individual."																															
1109.2	Yes: Elder here	"The first set of data concerns the structure of authority. In the ordinary everyday affairs of the Tikopia clan the ultimate decisive role is played by the chief. His word is effective, and is normally not questioned. Affairs between clans are decided by the chiefs in concert, with great display of courteous agreement. Seconding the efforts of the chief in each clan are his elders ( pure or matapure ), who are the heads of the various major ramages. They attain their position primarily by seniority of descent, but they must be confirmed in office by their clan chief, and in some twin ramages which continue to maintain a close relationship for generations after the point of branching the chief may select the joint elder alternately from one and then the other ramage. The role of the elder is, however, in essence a ritual one. His main task is to conduct the worship of the gods and ancestral spirits on behalf of the group he represents and to perform the appropriate rituals in connexion with sickness, sea voyaging, &c. This ritual function is symbolized by his investiture by the chief on election with a leaf necklet regarded as endowed with magical virtue. The elder exercises authority by right over all members of his ramage and obtains respect from the community at large. His position is analogous to, and in some degree is the outcome of, that of a father in the family. The Tikopia elder can, in fact, be regarded as fulfilling in part the role of a father-symbol to his ramage, just as the chief fills a similar role for his clan. But the elders may play a comparatively small part in general social control in the community. They are ranked in a ritual hierarchy in each clan according to the importance of the gods they serve, and only a few of the highest ranking ones play much part in the maintenance of public order."																															
630.2	Yes: code village headman here	"The head of the Khasi State is the Siem or chief. A Khasi state is a limited monarchy, the Siem's powers being much circumscribed. According to custom, he can perform no act of any importance without first consulting and obtaining the approval of his durbar, upon which the state [Page 67] mantris sit. ...
In some States there are village headmen, styled Sirdars, who settle cases, collect labour, and assess and receive for the chief the pynsuk , which may be literally translated as “gratification.” In Nongstoin there is an official styled lyngskor , who is the superior of a number of village sirdars, and who acts as the Siem's deputy-governor. In the Khasi Hills there is no land revenue, nor are there any tithes or other imposts levied upon the cultivator's produce. The land, to a great extent, is the property of the different clans and villages, although in some instances there are estates owned by private persons. The chief is entitled to receive the income that arises from what are known as the raj or State lands only. All that the Siem usually receives from his people in the way of direct revenue is the State subscription, or pynsuk , mentioned above. Even this is supposed to be a voluntary contribution, and it is not demanded in some States. This tax is nominally a collection to meet the expenses of the State ceremonies, but is really a means of increasing the chief's private income. The contribution varies in amount according to the means of the villagers. The Siem's principal source of income, however, in all the Khasi States is the toll ( khrong ), which he takes from those who sell at the markets in his territory. As the Khasis are great traders these tolls are often at the larger markets fairly valuable. The chief raises no excise revenue, the manufacture of both fermented and distilled [Page 68] liquor being subject to no fiscal restrictions whatsoever. In a few States the Siems are commencing to levy registration fees, but the amounts are insignificant. Judicial fines are divided between the chief and the members of the durbar. In some States the Siems' incomes amount to a few hundreds a year only. Generally speaking, the Khasi chiefs are necessarily a very impecunious set of persons, and many of them are indebted to, comparatively speaking, large amounts. "																															
849.2	Yes: code traditional leader	"In recent years some villages have split the role of ‘chief’ into two parts, having one ‘chief’ for political matters who leads meetings dealing with day-to-day issues and represents the village in contacts with the Panamanian government and other ‘chiefs’ for tradition who chant legends, myths, and tribal history. Both types must be good speakers, each in his own way. This role splitting encourages and enables younger men, good speakers and dynamic leaders, to rise to leadership positions. At the same time it permits older leaders, knowledgeable in tradition, to retire gradually and gracefully, retaining an important role in society and maintaining their prestige. Ultimately, practical political knowledge and traditional knowledge are linked together. If a ‘chief’ is good at both, he can be both, thus acquiring even more prestige."																															
849.1	Yes: code political chief	"In recent years some villages have split the role of ‘chief’ into two parts, having one ‘chief’ for political matters who leads meetings dealing with day-to-day issues and represents the village in contacts with the Panamanian government and other ‘chiefs’ for tradition who chant legends, myths, and tribal history. Both types must be good speakers, each in his own way. This role splitting encourages and enables younger men, good speakers and dynamic leaders, to rise to leadership positions. At the same time it permits older leaders, knowledgeable in tradition, to retire gradually and gracefully, retaining an important role in society and maintaining their prestige. Ultimately, practical political knowledge and traditional knowledge are linked together. If a ‘chief’ is good at both, he can be both, thus acquiring even more prestige."																															
583.1	Yes: code kin group leadership	"Formal leadership within the kinship organization is strongly hierarchical and is based primarily on genealogical rank and age, although personal qualities and reputation also affect actual influence. Outside the lineage, a somewhat anarchic egalitarianism exists in which popularity or charisma, wealth, and individual forcefulness determine leadership."																															
569.1	Yes: code for village chief	"Wolof politics have been characterized by authoritarianism, manipulation, exploitation, intrigue, and factionalism. The four traditional kingdoms had basically similar political systems: a complex hierarchy of political officials and territorial commands headed by a ruler whose power depended to an important extent upon his slave warriors. These political structures were destroyed by the French conquest and replaced by the system of French colonial administration. The latter, in turn, was replaced by the current Senegalese national state. Political organization at the village level has retained many traditional features, but there is much local and regional variation. The top political officials in most villages are of noble status. The office of village chief, the BOROM DEKK, is hereditary within the patrilineage of the village founder, but the village notables (who include the patrilineage heads) also have a voice in his selection, and the official appointment must be made by a government official. The chie f is officially responsible for administering village affairs, collecting taxes, maintaining order in the village, and acting as an intermediary between villagers and higher-level officials. The chief is usually also a Muslim religious leader, a SERIÑ (marabout). To assist him, the chief may appoint a council selected from the most important village notables. The chief also appoints the YÉLIMAAN (imam) and the SALTIGÉ. The imam is the religious leader of the village and leads the prayers in the mosque. The saltigé, whose position is hereditary within a particular patrilineage, was traditionally the leader of the village warriors and of hunting parties. Nowadays he directs the public works in the village and acts as an intermediary between the young men of the village and the chief. The heads of the major patrilineages are politically very influential, especially the ones who are also chefs de quartier (i.e., heads of the sectors into which some villages are divided for particular a ctivities or situations). Finally, there are the heads of the residential compounds."																															
569.2	Yes: code for religeous leader	"Wolof politics have been characterized by authoritarianism, manipulation, exploitation, intrigue, and factionalism. The four traditional kingdoms had basically similar political systems: a complex hierarchy of political officials and territorial commands headed by a ruler whose power depended to an important extent upon his slave warriors. These political structures were destroyed by the French conquest and replaced by the system of French colonial administration. The latter, in turn, was replaced by the current Senegalese national state. Political organization at the village level has retained many traditional features, but there is much local and regional variation. The top political officials in most villages are of noble status. The office of village chief, the BOROM DEKK, is hereditary within the patrilineage of the village founder, but the village notables (who include the patrilineage heads) also have a voice in his selection, and the official appointment must be made by a government official. The chie f is officially responsible for administering village affairs, collecting taxes, maintaining order in the village, and acting as an intermediary between villagers and higher-level officials. The chief is usually also a Muslim religious leader, a SERIÑ (marabout). To assist him, the chief may appoint a council selected from the most important village notables. The chief also appoints the YÉLIMAAN (imam) and the SALTIGÉ. The imam is the religious leader of the village and leads the prayers in the mosque. The saltigé, whose position is hereditary within a particular patrilineage, was traditionally the leader of the village warriors and of hunting parties. Nowadays he directs the public works in the village and acts as an intermediary between the young men of the village and the chief. The heads of the major patrilineages are politically very influential, especially the ones who are also chefs de quartier (i.e., heads of the sectors into which some villages are divided for particular a ctivities or situations). Finally, there are the heads of the residential compounds."																															
752.1	Yes: code for minister 	"The crofters continue to stand at the opposite pole. They seldom achieve status within their neighborhood. Upward mobility is possible only through outward mobility. Leadership fails to find expression among them in the township or the neighborhood. The rare exception is the crofter's son who becomes a minister and returns to lead his people spiritually. When the crofters must select a leader, from their own number, the status is accorded to an elder of the church. The elder already has high status because of his advanced age and his position in the kirk. As I have said, the continued operation of primitive democracy means a minimum of authority and a maximum of equality."																															
630.1	Yes: code for king/chief	"The head of the Khasi State is the Siem or chief. A Khasi state is a limited monarchy, the Siem's powers being much circumscribed. According to custom, he can perform no act of any importance without first consulting and obtaining the approval of his durbar, upon which the state [Page 67] mantris sit. ...
In some States there are village headmen, styled Sirdars, who settle cases, collect labour, and assess and receive for the chief the pynsuk , which may be literally translated as “gratification.” In Nongstoin there is an official styled lyngskor , who is the superior of a number of village sirdars, and who acts as the Siem's deputy-governor. In the Khasi Hills there is no land revenue, nor are there any tithes or other imposts levied upon the cultivator's produce. The land, to a great extent, is the property of the different clans and villages, although in some instances there are estates owned by private persons. The chief is entitled to receive the income that arises from what are known as the raj or State lands only. All that the Siem usually receives from his people in the way of direct revenue is the State subscription, or pynsuk , mentioned above. Even this is supposed to be a voluntary contribution, and it is not demanded in some States. This tax is nominally a collection to meet the expenses of the State ceremonies, but is really a means of increasing the chief's private income. The contribution varies in amount according to the means of the villagers. The Siem's principal source of income, however, in all the Khasi States is the toll ( khrong ), which he takes from those who sell at the markets in his territory. As the Khasis are great traders these tolls are often at the larger markets fairly valuable. The chief raises no excise revenue, the manufacture of both fermented and distilled [Page 68] liquor being subject to no fiscal restrictions whatsoever. In a few States the Siems are commencing to levy registration fees, but the amounts are insignificant. Judicial fines are divided between the chief and the members of the durbar. In some States the Siems' incomes amount to a few hundreds a year only. Generally speaking, the Khasi chiefs are necessarily a very impecunious set of persons, and many of them are indebted to, comparatively speaking, large amounts. "																															
583.2	"Yes: code for general leadership outside the lineage""""""es: code for general"""	"Formal leadership within the kinship organization is strongly hierarchical and is based primarily on genealogical rank and age, although personal qualities and reputation also affect actual influence. Outside the lineage, a somewhat anarchic egalitarianism exists in which popularity or charisma, wealth, and individual forcefulness determine leadership."																															
752.2	Yes: code for general leader	"The crofters continue to stand at the opposite pole. They seldom achieve status within their neighborhood. Upward mobility is possible only through outward mobility. Leadership fails to find expression among them in the township or the neighborhood. The rare exception is the crofter's son who becomes a minister and returns to lead his people spiritually. When the crofters must select a leader, from their own number, the status is accorded to an elder of the church. The elder already has high status because of his advanced age and his position in the kirk. As I have said, the continued operation of primitive democracy means a minimum of authority and a maximum of equality."																															
505.1	Yes: code for elders	"In addition to words of authority, the elders hold the words of wisdom and knowledge. This grants them the right to settle quarrels and control the conduct of youth. For the Dogon tradition is a type [Page 461] For the Dogon tradition is a type of “speech” which they are obliged to transmit, since all education assumes the form of spoken words passed down from mouth to mouth throughout the course of generations. It is called s`[unavailable]: p[unknown]y, “ancient speech,” an expression that evokes the antiquity of this tradition which harks back to the ancestors of humanity, but which also recalls the elders charged with its conservation and transmission. Its opposite is s`[unavailable]: kaná, “new speech,” which stands for modern education. S`[unavailable]: p[unknown]y is classed with “speech of Amma Seru spoken while lying flat” because, above anything else, it is the privilege of the chief family patriarch. "																															
570.2	Yes: code for elder representative	"Although these Wolof in the chiefdom of Saloum paid taxes to the chief, they had to a large extent maintained their independence. In daily life the political decisions were taken by their elder or diambour boureie. In addition, political control of the chief over the Wolof commoners was only indirect, because he dealt with them through a representative of the diambour boureie when necessary. This representative or Grand Diaraf was elected by the council of lineage elders of Saloum. When this choice of the Grand Diaraf had been accepted by the chief, this person had great powers and could not be deposed by the chief. The Grand Diaraf was the interim ruler after the death of a chief. His importance is also shown by the fact that he could veto the chief’s choice of a successor. Gamble (1967, p. 56) stated that this council of lineage elders together with representatives of the soldiers could even elect the new bour, probably when the former chief had died unexpectedly without having proposed a successor."																															
681.2	Yes: code for chief here	"In a group of men from a village community who go to war, there is only one tadoelako, who has the leadership, who determines when the people will break camp and when the people will come to a halt; who instructs the men who are going to spy on the enemy and who picks the moment that the attack will take place. He ascribes his power and his influence to the fact that he knows how to interpret the instructions that the ancestors-gods give in all sorts of signs. If one does not obey the tadoelako, then one is rebelling against the gods. It is not primarily courage that is asked of the tadoelako, but knowledge of all sorts of signs that appear and the interpretation of them. We have known tadoelako who were not courageous, but were respected by everyone because of their great knowledge and wisdom.
In larger groups of warriors there were usually two tadoelako, one of whom had the leadership of the expedition and the other was in command during the attack; the latter had to be a courageous man, but he, too, had to follow the instructions of the first one. The first one was the tadoelako mpoe’oe or tadoelako kodjo , “the true tadoelako”; also sometimes called wo’o ntangoa , “the head of the huts,” or wo’o ntaoe , “the head of the men.” The second one was the tadoelako iwinja , “someone with whom (in what concerns the leadership) one does not reckon”; or tadoelako ri tana , “tadoelako of the ground,” in contrast to the abode of the gods in the sky with /260/ which the chief-tadoelako is connected. Another name for him was kongka , “eagle”; he is celebrated as such in the war songs. Sometimes a Chief ( mokole ) also went out with the troop; he then usually acted as a second [Page 386] tadoelako. For the most part, however, the village chief did not go with the troop, but remained at home in order to look out for the well-being of those who remained behind. If he went along, he also had to follow the instructions of the first tadoelako."																															
570.1	Yes: code for chief 	"Although these Wolof in the chiefdom of Saloum paid taxes to the chief, they had to a large extent maintained their independence. In daily life the political decisions were taken by their elder or diambour boureie. In addition, political control of the chief over the Wolof commoners was only indirect, because he dealt with them through a representative of the diambour boureie when necessary. This representative or Grand Diaraf was elected by the council of lineage elders of Saloum. When this choice of the Grand Diaraf had been accepted by the chief, this person had great powers and could not be deposed by the chief. The Grand Diaraf was the interim ruler after the death of a chief. His importance is also shown by the fact that he could veto the chief’s choice of a successor. Gamble (1967, p. 56) stated that this council of lineage elders together with representatives of the soldiers could even elect the new bour, probably when the former chief had died unexpectedly without having proposed a successor."																															
505.2	Yes: code for chief	"In addition to words of authority, the elders hold the words of wisdom and knowledge. This grants them the right to settle quarrels and control the conduct of youth. For the Dogon tradition is a type [Page 461] For the Dogon tradition is a type of “speech” which they are obliged to transmit, since all education assumes the form of spoken words passed down from mouth to mouth throughout the course of generations. It is called s`[unavailable]: p[unknown]y, “ancient speech,” an expression that evokes the antiquity of this tradition which harks back to the ancestors of humanity, but which also recalls the elders charged with its conservation and transmission. Its opposite is s`[unavailable]: kaná, “new speech,” which stands for modern education. S`[unavailable]: p[unknown]y is classed with “speech of Amma Seru spoken while lying flat” because, above anything else, it is the privilege of the chief family patriarch. "																															
851.1	Yes: code cultural model here	"In addition to those appointed by the Government, the Indians accord obedience and respect to a considerable body of purely native officials. The only ones fulfilling a civic function are the class known as Principales , who exist chiefly among the Bachajon. They are men who know how to read and write Spanish, living in places more available to the outlying Indians than the Secretaries at Bachajon Village, and are usually men in whom confidence is reposed. Although they hold their position without official selection, but by general consent, they are recognized by the Mexicans with whom they deal as holding a sort of power of attorney for their people. They examine and sign written documents, and compose communications from the Indians to the Government. Through this they gain an influence with which, if they be men of force, they may become leaders of real power in their own districts. A Principale whom we met at El Encanto, where he had come in to buy salt, was [Page 357] the informal chief of one of the semi-separated, turbulent groups already described. He was a well-built, square-faced, sullen yet cunning looking fellow, with a long scar from a machete cut across one cheek, and credited with a number of murders."																															
