cs_ID,cs_textrec_ID,cs_code_ follower.benefits,cs_code_ follower.costs,cs_code_ leader.benefits,cs_code_ leader.costs,follower.benefits_fitness,follower.benefits_mating,follower.benefits_other,follower.benefits_reduced.risk.harm.conflict,follower.benefits_resource_food,follower.benefits_resource_other,follower.benefits_social.services,follower.benefits_social.status.reputation,follower.benefits_territory,follower.costs_fitness,follower.costs_increased.risk.harm.conflict,follower.costs_mating,follower.costs_other,follower.costs_resource_food,follower.costs_resource_other,follower.costs_social.services,follower.costs_social.status,follower.costs_territory,function_bestow.mate,function_organize.cooperation,function_political.appointments,function_resolve.conflcit,functions_construction.infrastructure,functions_context,functions_control.calendar,functions_control.economics,functions_control.immigration,functions_council.member,functions_distribute.resources,functions_group.determination,functions_group.representative,functions_hospitality,functions_medicinal,functions_military.command,functions_moral.authority,functions_new.settlement,functions_policymaking,functions_prosocial.investment,functions_protection,functions_provide.counsel,functions_provide.subsistence,functions_punishment,functions_ritual,functions_serve.leader,functions_social.functions,functions_strategic.planning,leader.benefits_fitness,leader.benefits_mating,leader.benefits_other,leader.benefits_reduced.risk.harm.conflict,leader.benefits_resource_food,leader.benefits_resource_other,leader.benefits_social.services,leader.benefits_social.status.reputation,leader.benefits_territory,leader.costs_fitness.costs,leader.costs_increased.risk.harm.conflict,leader.costs_other,leader.costs_resource_food.cost,leader.costs_resources_other.cost,leader.costs_social.status,leader.costs_territory.cost,leader.costs.mating.cost,leader.costs.social.services,qualities_artistic.performance,qualities_drug.consumption,qualities_exp.accomplished,qualities_generous,qualities_high.status,qualities_wealthy,qualities.age,qualities.aggressive,qualities.ambition,qualities.attractive,qualities.bravery,qualities.charisma,qualities.coercive.authority,qualities.confident,qualities.culturally.conservative,qualities.culturally.progressive,qualities.decisive,qualities.fairness,qualities.favorable.personality,qualities.high.quality.spouse,qualities.honest,qualities.humble,qualities.industriousness,qualities.ingroup.member,qualities.innovative,qualities.interpersonal.skills,qualities.killer,qualities.knowlageable.intellect,qualities.loyalty,qualities.many.children,qualities.oratory.skill,qualities.physical.health,qualities.physically.strong,qualities.polygynous,qualities.proper.behavior,qualities.prosocial,qualities.social.contacts,qualities.strategic.nepotism,qualities.strategic.planner,qualities.supernatural,qualities.xenophobic
10017,26,-1,-1,When a chief took a wife among his subjects he was not obliged to pay the customary bridewealth....On the death of a chief’s wife his subjects were expected to contribute gifts as marks of their sorrow [Page 61] and mourning and these the chief was expected to hand on to the father of the dead woman.,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10018,27,-1,-1,"When the daughter of a chief was taken in marriage by a commoner, her husband was obliged to contribute between 40 and 60 knives, or at least double the usual bridewealth. This clearly placed the chief in a position where he was certain to acquire wives and knives though they would not normally remain as accumulated stock",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10019,28,"a chief might reward a faithful servant with a wife, thereby making his servant further obliged to him, for the chief could assume some of the attributes of a father-in-law. ",-1,"If the chief’s oracle had decided in favour of the defendant in an adultery case, and the chief had awarded the customary damages of one woman and 20 knives, the defendant would often keep the knives only, and surrender the woman to his chief.",-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10020,29,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10021,30,-1,-1,"The rulers of the country do not levy regular taxes, but the chiefs are expected to appear before them from time to time, when they bring with them presents of girls, cattle, eggs, barkcloth, etc","The rulers of the country do not levy regular taxes, but the chiefs are expected to appear before them from time to time, when they bring with them presents of girls, cattle, eggs, barkcloth, etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10022,31,-1," It is certain that all commoners were under an obligation to deliver to their chiefs all ivory, all prisoners of war, and a share of the spoils of the chase; to make periodic gifts of produce, to build and maintain the chief’s homestead, and to serve in his palanga or bodyguard-labour squad. ",-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10023,32,-1,-1,"The palanga was under the direct orders of the chief, and was ready at all times both for raiding and as a garrison to protect the chief from surprise attacks, a chief usually siting his settlement so that his personal huts could only be approached through those of his palanga...",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,1,,,,,0,,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10024,33,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,,,,1,,,,,0,,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10025,34,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10026,35,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10027,36,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10028,37,-1,-1,"But important as a witch-doctor is in his ritual capacity as a fighter of witchcraft, and powerful as he may become as a result of the economic rewards of his profession, people only treat him as a witch-doctor when he is practising as one, and he enjoys no added status or respect in other spheres of social life.",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,1,0,,,,,1,,0,0,1,,0,,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10029,38,-1,-1,there being practically no limit to the number of women who may be owned as wives by the chief.,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10030,39,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,1,,,1,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10031,40,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10032,41,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10033,42,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,1,,,,,,,,0,,,,,,,,,0,,,,1,,,,,,,,,
10034,43,-1,-1,Each chief receives one or two muskets as his bonus per ton of india-rubber delivered by his subjects,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10035,44,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10036,45,-1,-1,"Besides ivory and his part of the spoils of the hunt, the taxes which an Azande chief collects from his subjects are minimal; they are greatly disproportionate to his power, and can really be regarded as gifts",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,,,,,,1,,,,,0,,0,0,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10037,46,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10038,47,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10039,48,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10040,49,The extent of a chief’s power depends on how many wives a chief can assemble in his harem and be free to bestow on his subjects.,-1,The extent of a chief’s power depends on how many wives a chief can assemble in his harem and be free to bestow on his subjects.,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10041,50,It is not unusual for chiefs to buy wives for their subjects.,-1,-1,It is not unusual for chiefs to buy wives for their subjects.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10042,51,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10043,52,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10044,53,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,1,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10045,54,"song-leader will give magic to his followers. The eating of the magic acts in two ways. Firstly, it gives a man confidence to enable him to compose and to sing his songs and attract suali or followers. Secondly, it gives him a diploma, a right to take the most prominent place in a dance. One man, in my service, used sometimes to have quarrels when we were travelling in a strange district, since he considered himself a good soloist and tried to monopolize this role. People used to ask him from whom he had got his magic and the fact that he was able to tell them that he had it from a famous song-leader to some extent disarmed criticism.",-1,"In return for small presents, sometimes as much as a spear-head, the [455] song-leader will give magic to his followers. ",-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,0,1,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,1,
10046,55,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10047,56,-1,"Also, commoners were expected to give him a portion of animals killed in hunting (only the bushbuck was never presented at court, on account of its timidity) and a portion of their termite harvest, either raw termites or their oil, though no definite amounts of either were required of them. ",All elephant tusks and leopard skins belonged to the ruler. ......A man who was used to court life and was known to the prince would bring gifts of these and other kinds to court and present them to the prince in person. Such gifts were intended for his personal consumption. ,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,1,,,,,0,,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10048,57,-1,"All these things they give to a prince, he does not keep them from the people. If, for example, it is oil, the prince has bowls of porridge cooked, and the relish to go with the porridge will be oil.",-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10049,58,-1,-1,A chief’s deputy chose a site near some stream and along both banks were stretched out the homes of his relatives and those whom he patronized.,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10050,59,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,1,,,,,,0,,,,,0,,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10051,60,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10052,61,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10053,62,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,
10054,63,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10055,64,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10057,65,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10058,66,-1,-1,"A lodge-leader receives wealth by selling knowledge of his medicines to others in the manner described. He also gets fees from laymen who wish to become members of the association, though he is expected to share these with their sponsors and with his lodge officials. He is made small presents by junior members of the association when they wish to stir and address the medicines about their affairs, for this is a privilege that must be paid for. ",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,1,,
10059,67,-1,Anyone who failed to report for duty was fined at least ten spears; and each man was expected to bring his own spears and shield,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,1,,,,0,1,,,,,,,,,,,,
10060,68,"A prince gives spears and throwing-knives to his followers to fight his wars with them, and what weapons they take from the enemy belong to him because the battle was fought with his spears and knives. Azande emphasize that this is so.",-1,"The prince sent some, if not all, of the captured women to his father the king. He had the captured weapons tied in bundles ( vodivodi baso).",-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10061,69,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,1,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
