cs_ID,cs_textrec_ID,text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,demo_sex,dom_aggression,dom_assert.authority,dom_avoid.dom,dom_fear,dom_fighting,dom_personality,dom_reputation,dom_strong,hooper_performance,hooper_sanction.freeriders,hooper_payoff,hooper_group.size,hooper_coop.activities,neel_intelligence,neel_polygynous,neel_better.mates,neel_big.family,prestige_counsel,prestige_emulated,prestige_expertise,prestige_family,prestige_f.exp.success,prestige_likable,prestige_respected,doc_ID,doc_field_date,doc_coverage_date,doc_evaluation,author_ID
10019,28,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10020,29,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10021,30,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10022,31,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10023,32,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10024,33,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10025,34,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10026,35,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10027,36,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10028,37,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,fo07-056,no date,not specified,4: Excellent secondary data,16
10029,38,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-016,1894-1897,not specified,5: Excellent primary data,18
10030,39,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-016,1894-1897,not specified,5: Excellent primary data,18
10031,40,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-016,1894-1897,not specified,5: Excellent primary data,18
10032,41,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-028,1879-1889,1879-1889,5: Excellent primary data,19
10033,42,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,fo07-028,1879-1889,1879-1889,5: Excellent primary data,19
10034,43,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10035,44,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10036,45,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10037,46,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10038,47,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10039,48,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10040,49,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10041,50,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-020,1907-1908,not specified,5: Excellent primary data,20
10042,51,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-034,1926-1929,1926-1929,5: Excellent primary data,21
10043,52,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-006,1926-1927,1926-1927,5: Excellent primary data,22
10044,53,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,fo07-006,1926-1927,1926-1927,5: Excellent primary data,22
10045,54,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,fo07-006,1926-1927,1926-1927,5: Excellent primary data,22
10046,55,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-064,1927-1930,ca. 1865-ca. 1905,5: Excellent primary data,23
10047,56,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-064,1927-1930,ca. 1865-ca. 1905,5: Excellent primary data,23
10048,57,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-064,1927-1930,ca. 1865-ca. 1905,5: Excellent primary data,23
10049,58,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10050,59,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10051,60,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10052,61,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10053,62,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10054,63,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10055,64,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10057,65,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10058,66,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,fo07-071,1926-1930,1926-1929,5: Excellent primary data,24
10059,67,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-057,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",25
10060,68,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-057,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",25
10061,69,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-057,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",25
10062,70,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10063,71,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10064,72,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10065,73,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10066,74,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10067,75,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10068,76,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10069,77,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10070,78,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10071,79,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10072,80,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10073,81,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,unkown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10074,82,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10075,83,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10076,84,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10077,85,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10078,86,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
11182,88,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10080,89,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10081,90,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10082,91,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10083,92,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10084,93,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10085,94,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10086,95,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10087,96,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10088,97,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-068,1926-1930,ca. 1863 - 1930,5: Excellent primary data,26
10089,98,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,fo07-058,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",27
10090,99,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-058,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",27
10091,100,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-058,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",27
10092,101,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-058,1926-1930,ca. 1865-ca. 1905,"4: Excellent secondary data5: Excellent primary data",27
10093,102,case,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-000,no date,not specified,4: Excellent secondary data,28
10094,103,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,fo07-026,ca. 1885,ca. 1885,5: Excellent primary data,30
10095,104,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-026,ca. 1885,ca. 1885,5: Excellent primary data,30
10096,105,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-026,ca. 1885,ca. 1885,5: Excellent primary data,30
10097,106,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-026,ca. 1885,ca. 1885,5: Excellent primary data,30
