"","cs_ID","cs_textrec_ID","cs_code_text_type","c_culture_code","c_name","c_region","c_subregion","c_subsistence_type","c_subsistence_code","c_latitude","c_longitude","c_cultural_complexity","cs_code_demo_sex","cs_code_dom_aggression","cs_code_dom_assert.autonomy","cs_code_dom_avoid.dom","cs_code_dom_fear","cs_code_dom_fighting","cs_code_dom_personality","cs_code_dom_reputation","cs_code_dom_strong","cs_code_neel_better.mates","cs_code_neel_big.family","cs_code_neel_intelligence","cs_code_neel_polygynous","cs_code_prestige_counsel","cs_code_prestige_emulated","cs_code_prestige_expertise","cs_code_prestige_family","cs_code_prestige_followers.expect.success","cs_code_prestige_likable","cs_code_pretige_respected","cs_code_vanvugt_coordinating","cs_code_vanvugt_strategic","prestige_counsel.f","prestige_emulated.f","prestige_expertise.f","prestige_family.f","prestige_followers.expect.success.f","prestige_likable.f","prestige_respected.f","neel_better.mates.f","neel_big.family.f","neel_intelligence.f","neel_polygynous.f","vanvugt_coordinating.f","vanvugt_strategic.f","dom_aggression.f","dom_assert.autonomy.f","dom_avoid.dom.f","dom_fear.f","dom_fighting.f","dom_personality.f","dom_reputation.f","dom_strong.f","subsistence2","dom_for","dom_against","dom_none","dom_sum","prestige_for","prestige_against","prestige_none","prestige_sum","neel_for","neel_against","neel_none","neel_sum","dom_totals","prest_totals"
"11",10287,317,"both","FK07","Ganda","Africa","Eastern Africa","intensive agriculturalists",5,0.5,NA,18,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"12",10294,324,"both","FK07","Ganda","Africa","Eastern Africa","intensive agriculturalists",5,0.5,NA,18,"male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,1,0,3,1,0,0
"13",10327,358,"both","MO04","Somali","Africa","Eastern Africa","pastoralists",3,5,46.21,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,2,0,5,2,0,0,4,0,0,2
"14",10329,360,"both","MO04","Somali","Africa","Eastern Africa","pastoralists",3,5,46.21,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"15",10331,362,"both","MO04","Somali","Africa","Eastern Africa","pastoralists",3,5,46.21,12,"male",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",1,0,7,1,0,0,7,0,0,0,4,0,1,0
"16",10351,382,"both","MT09","Libyan Bedouin ","Africa","Northern Africa","pastoralists",3,NA,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"17",10354,385,"both","MT09","Libyan Bedouin ","Africa","Northern Africa","pastoralists",3,NA,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"18",10363,394,"both","FQ05","Bemba","Africa","Southern Africa","horticulturalists",4,-10.5,30.5,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"19",10388,419,"both","FQ05","Bemba","Africa","Southern Africa","horticulturalists",4,-10.5,30.5,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"20",10392,423,"both","FQ05","Bemba","Africa","Southern Africa","horticulturalists",4,-10.5,30.5,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"21",10416,447,"both","FQ09","Lozi","Africa","Southern Africa","other",7,-15.25,23,14,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"22",10443,474,"both","FE12","Akan","Africa","Western Africa","horticulturalists",4,7,-1.5,17,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","evidence against","evidence against","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,2,5,2,0,0,4,0,0,-2
"23",10494,523,"both","MS12","Hausa","Africa","Western Africa","other",7,12.5,8,21,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"24",10504,533,"both","MS12","Hausa","Africa","Western Africa","other",7,12.5,8,21,"male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",1,0,7,1,0,0,7,0,0,0,4,0,1,0
"25",10507,536,"both","MS12","Hausa","Africa","Western Africa","other",7,12.5,8,21,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"26",10518,547,"both","MS14","Kanuri","Africa","Western Africa","intensive agriculturalists",5,12,12.25,1,"male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",1,0,7,1,1,0,6,1,0,0,4,0,1,1
"27",10522,551,"both","MS14","Kanuri","Africa","Western Africa","intensive agriculturalists",5,12,12.25,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"28",10548,574,"both","AA01","Korea","Asia","East Asia","intensive agriculturalists",5,33.06,128.03,22,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"29",10560,584,"both","AA01","Korea","Asia","East Asia","intensive agriculturalists",5,33.06,128.03,22,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"30",10583,608,"both","AD05","Taiwain Hokkien","Asia","East Asia","intensive agriculturalists",5,NA,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"31",10584,609,"both","AD05","Taiwain Hokkien","Asia","East Asia","intensive agriculturalists",5,NA,NA,1,"male",0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","evidence against","no evidence","evidence against","no evidence","no evidence","evidence against","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,1,7,1,1,0,6,1,0,1,3,1,-1,1
"32",10640,664,"both","AO07","Central Thai ","Asia","Southeast Asia","intensive agriculturalists",5,13.5,102,23,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"33",10656,680,"both","OG11","Eastern Toraja","Asia","Southeast Asia","horticulturalists",4,-1.75,121,12,"male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,1,0,3,1,0,0
"34",10716,739,"both","ES10","Highland Scots","Europe","British Isles","other",7,56,-5,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"35",10721,744,"both","ES10","Highland Scots","Europe","British Isles","other",7,56,-5,1,"male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","evidence against","evidence against","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,2,5,2,1,0,3,1,0,-2
"36",10762,784,"both","EP04","Saami","Europe","Scandinavia","pastoralists",3,65,21.5,6,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"37",10764,786,"both","EP04","Saami","Europe","Scandinavia","pastoralists",3,65,21.5,6,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"38",10791,813,"both","SB05","Kuna","Middle America and the Caribbean","Central America","horticulturalists",4,9.25,-78.5,16,"male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,2,0,5,2,1,0,3,1,0,2
"39",10792,814,"both","SB05","Kuna","Middle America and the Caribbean","Central America","horticulturalists",4,9.25,-78.5,16,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"40",10917,931,"both","NM09","Iroquois","North America","Eastern Woodlands","horticulturalists",4,NA,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"41",10923,937,"both","NA12","Tlingit","North America","Northwest Coast and California","foragers",1,57.34,NA,1,"male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","hunter gatherers",0,0,8,0,2,0,5,2,1,0,3,1,0,2
"42",10925,939,"both","NA12","Tlingit","North America","Northwest Coast and California","foragers",1,57.34,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","hunter gatherers",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"43",10942,956,"both","NA12","Tlingit","North America","Northwest Coast and California","foragers",1,57.34,NA,1,"unkown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","hunter gatherers",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"44",10967,980,"both","NF06","Blackfoot","North America","Plains and Plateau","foragers",1,NA,-105,1,"male",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","hunter gatherers",1,0,7,1,2,0,5,2,0,0,4,0,1,2
"45",10991,1004,"both","NR10","Klamath","North America","Plains and Plateau","foragers",1,42.5,-121.5,4,"male",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","hunter gatherers",0,0,8,0,0,0,7,0,1,0,3,1,0,0
"46",11050,1087,"both","OR19","Chuuk","Oceania","Micronesia","other",7,7.18,151.72,12,"male",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"47",11065,1102,"both","OQ06","Lau Fijians","Oceania","Polynesia","other",7,-18.87,-179.27,1,"male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","evidence against","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",1,0,7,1,0,1,6,1,0,0,4,0,1,-1
"48",11094,1130,"both","SR12","Saramaka","South America","Amazon and Orinoco","other",7,3,-56,11,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","other",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"49",11134,1168,"both","SQ18","Yanoama","South America","Amazon and Orinoco","horticulturalists",4,NA,NA,6,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"50",11152,1186,"both","SM04","Guarani","South America","Eastern South America","other",7,-23.5,-55,5,"male",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","evidence for","no evidence","evidence for","no evidence","evidence for","no evidence","no evidence","evidence for","no evidence","other",3,0,5,3,0,0,7,0,1,0,3,1,3,0
"51",11170,1202,"both","SI07","Mataco","South America","Southern South America","forager/food producers",2,NA,NA,1,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","hunter gatherers",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"52",11215,1045,"both","OJ29","Kapauku","Oceania","Melanesia","intensive agriculturalists",5,3.68,136.13,13,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"53",11227,1057,"both","OL06","Trobriands","Oceania","Melanesia","horticulturalists",4,-8.5,151,11,"male",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,2,0,2,2,0,0
